time,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other
2020-11-04T07:01:20Z,0,0,0,0,1,0,0,0,0
2020-11-04T01:14:14Z,1,2958,0.57,0.41,0.02,2958,1686,1212,59
2020-11-04T01:16:02Z,2,8231,0.56,0.42,0.02,5273,2923,2244,105
2020-11-04T01:18:01Z,4,20446,0.491,0.49,0.019,12215,5429,6561,223
2020-11-04T01:22:01Z,8,42193,0.472,0.508,0.02,21747,9876,11415,455
2020-11-04T01:26:02Z,14,73105,0.471,0.509,0.02,30912,14517,15776,618
2020-11-04T01:28:01Z,18,96102,0.468,0.512,0.02,22997,10543,11993,459
2020-11-04T01:32:02Z,24,124809,0.447,0.534,0.018,28707,10813,17443,324
2020-11-04T01:33:56Z,25,127594,0.446,0.535,0.018,2785,1117,1614,50
2020-11-04T01:35:06Z,29,152904,0.443,0.537,0.02,25310,10829,13846,761
2020-11-04T01:36:00Z,31,161933,0.441,0.539,0.02,9029,3675,5172,180
2020-11-04T01:40:57Z,32,166726,0.44,0.54,0.02,4793,1946,2750,95
2020-11-04T01:43:59Z,33,171060,0.439,0.541,0.02,4334,1735,2511,86
2020-11-04T01:45:58Z,33,173429,0.439,0.541,0.02,2369,1039,1281,47
2020-11-04T01:52:02Z,33,173628,0.438,0.541,0.02,199,-86,107,3
2020-11-04T02:01:57Z,33,173840,0.439,0.541,0.02,212,266,114,4
2020-11-04T02:22:26Z,34,174291,0.438,0.542,0.02,451,23,418,9
2020-11-04T02:33:01Z,34,174631,0.438,0.542,0.02,340,148,184,6
2020-11-04T02:33:32Z,34,175315,0.438,0.541,0.02,684,299,195,13
2020-11-04T02:34:27Z,34,175443,0.438,0.541,0.02,128,56,69,2
2020-11-04T03:11:12Z,34,175493,0.438,0.541,0.02,50,21,27,1
2020-11-04T03:11:48Z,35,181818,0.448,0.532,0.02,6325,4588,1785,126
2020-11-04T03:37:16Z,35,183459,0.448,0.533,0.018,1641,735,1056,-334
2020-11-04T03:37:55Z,38,196730,0.455,0.526,0.018,13271,7322,5696,238
2020-11-04T03:47:58Z,40,205725,0.458,0.523,0.018,8995,4709,4114,161
2020-11-04T03:55:15Z,41,212407,0.472,0.51,0.018,6682,6034,733,120
2020-11-04T03:56:46Z,43,222983,0.481,0.501,0.018,10576,6998,3386,190
2020-11-04T03:56:52Z,47,243820,0.487,0.495,0.018,20837,11485,8976,375
2020-11-04T04:10:20Z,51,263672,0.494,0.489,0.017,19852,11513,8244,93
2020-11-04T04:24:39Z,51,267432,0.495,0.488,0.017,3760,2124,1571,63
2020-11-04T04:54:56Z,51,267419,0.495,0.488,0.017,-13,-6,-6,0
2020-11-04T06:00:04Z,63,327644,0.498,0.486,0.016,60225,30794,28734,696
2020-11-04T06:08:50Z,92,477068,0.592,0.393,0.015,149424,119257,28252,1913
2020-11-04T06:12:55Z,93,481695,0.592,0.393,0.015,4627,2739,1818,69
2020-11-04T21:13:02Z,96,500390,0.594,0.392,0.014,18695,12068,6846,-219
2020-11-06T21:48:51Z,97,505201,0.594,0.391,0.015,4811,2857,1380,572
2020-11-10T13:09:07Z,99,513323,0.596,0.389,0.015,8122,5851,2149,121
2020-11-10T23:02:51Z,99,513411,0.596,0.389,0.015,88,52,34,1
2020-11-10T23:02:58Z,99,513503,0.596,0.389,0.015,92,54,35,1
